coefficient_case,family,contrast_target,contrast_observed,grad_logk_inf,total_variation_proxy,n,n_unknowns,method,tolerance,converged,iterations,setup_seconds,solve_seconds,total_seconds,residual_norm,memory_estimate_mb,best_method,is_best,speedup_vs_cg
checkerboard_c10,checkerboard,10.0,10.0,415.1842510463625,126.49411764705883,256,64516,jacobi-pcg,1e-08,True,678,0.0005310999695211649,1.1090169999515638,1.109548099921085,9.534350470380704e-09,5.402774810791016,amg-pcg,False,1.1434150534111667
checkerboard_c10,checkerboard,10.0,10.0,415.1842510463625,126.49411764705883,256,64516,amg-pcg,1e-08,True,12,0.20563590002711862,0.12028589996043593,0.32592179998755455,8.141707216691254e-09,5.402774810791016,amg-pcg,True,3.89257177636467
checkerboard_c30,checkerboard,30.0,30.0,151.51561316181613,412.44444444444446,64,3844,cg,1e-08,True,320,4.00003045797348e-07,0.019999900017865002,0.0200003000209108,8.811898592245976e-09,0.3197669982910156,jacobi-pcg,False,1.0
checkerboard_c30,checkerboard,30.0,30.0,151.51561316181613,412.44444444444446,64,3844,jacobi-pcg,1e-08,True,168,0.00018660002388060093,0.010203400044701993,0.010390000068582594,8.051957345722193e-09,0.3197669982910156,jacobi-pcg,True,1.9249566784304404
checkerboard_c30,checkerboard,30.0,30.0,151.51561316181613,412.44444444444446,64,3844,amg-pcg,1e-08,True,12,0.01251649996265769,0.00754869997035712,0.02006519993301481,9.558121810847792e-09,0.3197669982910156,jacobi-pcg,False,0.99676554869522
checkerboard_c30,checkerboard,30.0,30.0,305.4362360563595,409.1968503937008,128,15876,cg,1e-08,True,721,4.00003045797348e-07,0.5263541999738663,0.5263545999769121,9.275131098433776e-09,1.3266029357910156,amg-pcg,False,1.0
checkerboard_c30,checkerboard,30.0,30.0,305.4362360563595,409.1968503937008,128,15876,jacobi-pcg,1e-08,True,344,0.00013130006846040487,0.2374283999670297,0.2375597000354901,9.477687513235375e-09,1.3266029357910156,amg-pcg,False,2.2156729440990106
checkerboard_c30,checkerboard,30.0,30.0,305.4362360563595,409.1968503937008,128,15876,amg-pcg,1e-08,True,15,0.05682659999001771,0.03998969995882362,0.09681629994884133,4.827061303046409e-09,1.3266029357910156,amg-pcg,True,5.43663205736062
checkerboard_c30,checkerboard,30.0,30.0,613.2774818454462,407.59215686274507,256,64516,cg,1e-08,True,1526,2.00001522898674e-07,1.9313780000666156,1.9313782000681385,9.726212384773844e-09,5.402774810791016,amg-pcg,False,1.0
checkerboard_c30,checkerboard,30.0,30.0,613.2774818454462,407.59215686274507,256,64516,jacobi-pcg,1e-08,True,700,0.0003336999798193574,0.8973979000002146,0.8977315999800339,9.931061824326342e-09,5.402774810791016,amg-pcg,False,2.151398257687591
